RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Bad,64,212,2,61,33,1,0,87,11,6,5,39,7,49,36,10,10,0,100.0,1,5,0.0,50
Good,80,141,9,57,33,0,0,100,125,7,7,33,2,24,8,0,0,6,,1,1,1.0,43
Bad,66,145,8,81,13,1,1,71,15,7,2,14,1,36,0,1,0,0,64.0,0,3,0.5,60
Bad,70,233,6,69,31,0,0,97,6,6,6,33,1,33,0,0,0,35,68.0,6,3,1.0,59
Bad,64,178,8,108,33,0,0,85,1,6,6,33,2,36,0,4,4,48,78.0,5,3,3.0,62
Bad,69,124,5,51,29,0,0,100,125,7,7,29,4,21,36,1,1,51,76.0,7,3,1.0,77
Bad,73,201,16,108,13,0,0,93,12,7,6,14,0,21,0,0,0,47,77.0,6,2,1.0,89
Bad,58,264,13,78,24,0,0,92,1,6,6,25,0,28,0,5,4,70,23.0,13,2,5.0,94
Bad,61,395,30,103,8,0,0,73,2,6,6,11,0,18,0,0,0,79,,5,2,2.0,100
Good,69,312,15,94,27,1,0,82,11,6,5,30,0,18,15,0,0,54,62.0,2,2,1.0,56
Bad,71,60,9,29,12,1,1,92,44,7,6,12,2,75,0,2,1,0,59.0,0,2,0.5,75
Bad,72,98,16,49,11,0,0,91,16,7,6,11,0,36,4,4,4,56,79.0,1,1,0.0,67
Bad,58,263,16,88,21,2,0,69,1,6,5,55,0,19,2,1,1,20,51.0,6,1,1.0,57
Bad,62,199,2,65,18,0,0,85,22,7,6,20,3,40,36,5,5,58,82.0,4,3,1.0,88
Bad,61,118,19,63,26,1,0,78,14,7,5,27,0,41,0,3,3,65,67.0,3,4,1.0,88
Bad,69,78,5,40,16,0,0,100,125,7,7,16,1,25,0,2,2,69,,3,2,2.0,83
Good,87,283,8,108,21,0,0,100,125,7,7,22,2,9,0,0,0,18,,4,2,0.0,33
Bad,74,139,1,61,27,0,0,93,29,7,6,28,4,25,0,1,1,19,21.0,2,3,1.0,42
Good,80,162,9,82,22,0,0,100,125,7,7,24,1,58,0,0,0,79,45.0,2,2,0.5,80
Good,63,99,2,44,45,0,0,98,125,7,7,48,6,48,36,2,2,91,92.0,7,10,3.0,94
Bad,88,209,19,71,5,0,0,100,125,7,7,5,0,40,0,0,0,0,72.0,0,1,0.5,50
Good,82,429,10,115,30,0,0,97,19,7,6,30,1,13,11,0,0,10,51.0,11,2,0.0,65
Good,80,156,13,78,19,0,0,95,46,7,6,19,0,11,0,1,1,9,,3,1,1.0,29
Good,75,163,8,79,44,0,0,98,63,7,6,46,2,35,0,0,0,24,96.0,4,3,0.0,47
Good,72,198,10,50,10,1,1,91,64,7,2,11,1,18,2,3,3,47,,3,1,0.0,100
Bad,70,261,2,63,19,0,0,100,125,7,7,21,1,25,36,1,1,60,62.0,5,3,3.0,73
Good,69,252,3,90,44,1,0,91,7,6,5,46,4,20,4,1,1,23,100.0,11,2,1.0,78
Good,70,132,2,64,20,1,1,92,6,6,6,26,4,4,0,1,1,1,,1,2,0.0,13
Good,73,103,20,70,6,0,0,71,48,7,6,7,0,29,36,0,0,34,,1,2,0.0,100
Bad,56,133,2,64,15,0,0,88,3,6,6,17,2,12,0,2,2,84,,10,1,4.0,92
Bad,56,140,9,69,16,1,1,94,1,6,6,18,1,47,0,0,0,66,66.0,3,2,2.0,71
Bad,76,194,19,132,15,1,1,94,30,7,2,16,0,31,0,4,4,0,47.0,1,2,0.0,45
Good,86,216,9,125,18,0,0,94,27,7,6,18,1,33,16,0,0,0,70.0,0,3,0.0,43
Good,86,186,0,102,12,0,0,100,125,7,7,14,1,50,0,0,0,37,,3,1,0.0,80
Bad,75,212,6,52,16,1,0,88,20,7,5,24,2,53,36,2,2,16,44.0,2,2,0.5,44
Good,80,228,2,61,46,0,0,100,125,7,7,49,7,29,0,1,1,9,,5,2,0.0,57
Good,81,202,5,106,37,0,0,95,40,7,6,44,1,46,1,1,1,0,92.0,2,2,0.0,36
Bad,61,255,15,125,17,3,2,71,12,7,2,22,0,32,36,0,0,96,97.0,3,3,1.0,100
Good,72,180,13,118,19,0,0,100,125,7,7,20,0,35,36,7,7,50,,5,2,1.0,100
Good,75,356,15,122,20,1,0,82,8,7,5,22,0,18,18,0,0,23,,5,1,0.0,60
Good,63,307,2,85,35,0,0,95,22,7,6,38,3,24,0,3,3,38,,5,1,2.0,50
Good,83,180,5,53,25,0,0,100,125,7,7,26,2,4,36,1,1,18,,5,1,0.0,55
Good,77,177,12,75,7,1,1,89,19,7,6,9,0,22,36,2,2,1,,1,2,0.0,25
Good,85,251,5,80,45,0,0,98,43,7,6,48,3,17,0,1,1,3,,2,1,0.0,20
Bad,55,85,19,59,6,4,3,33,7,2,2,9,0,44,19,0,0,29,,2,1,0.0,75
Good,79,116,2,38,14,0,0,100,125,7,7,16,3,13,2,1,1,7,100.0,2,2,0.0,44
Bad,65,88,9,45,20,0,0,85,1,6,6,20,1,20,0,0,0,14,71.0,4,2,1.0,50
Bad,74,271,10,76,22,0,0,100,125,7,7,24,1,46,0,0,0,70,43.0,8,4,3.0,100
Bad,57,173,3,48,25,1,1,96,1,4,4,26,4,23,0,2,2,4,36.0,5,4,0.0,60
Bad,57,154,6,68,24,2,1,71,8,6,4,28,3,14,0,1,1,38,30.0,6,1,0.0,42
Good,61,171,8,78,40,0,0,93,7,6,6,42,1,24,0,0,0,49,68.0,7,3,2.0,67
Bad,60,178,5,53,23,0,0,75,10,6,6,24,6,29,4,2,2,35,75.0,3,3,1.0,55
Bad,77,301,4,149,13,0,0,92,9,6,6,42,2,31,36,0,0,20,89.0,6,2,1.0,80
Bad,61,162,5,63,24,7,2,75,11,6,2,32,1,44,0,4,4,46,85.0,1,2,0.0,43
Bad,59,326,7,72,21,0,0,81,4,6,6,21,2,52,0,2,2,23,,5,1,1.0,67
Good,80,184,8,127,19,0,0,100,125,7,7,20,1,50,20,0,0,44,36.0,2,2,1.0,80
Bad,71,367,7,145,38,0,0,95,59,7,6,41,1,29,1,4,4,21,97.0,13,2,1.0,73
Bad,78,82,5,54,33,0,0,100,125,7,7,41,2,15,36,3,3,21,11.0,9,3,2.0,50
Good,81,156,1,77,31,0,0,100,125,7,7,37,2,39,0,4,4,13,,1,2,0.0,33
Good,69,222,12,103,31,1,0,94,79,7,5,33,0,33,6,1,0,32,68.0,13,3,2.0,84
Good,85,326,4,120,21,0,0,100,125,7,7,44,1,26,4,3,3,5,39.0,2,2,0.0,31
Bad,56,305,4,97,8,2,1,73,1,6,4,11,1,36,0,5,5,15,96.0,5,4,1.0,100
Bad,72,26,2,13,12,0,0,100,125,7,7,14,6,43,2,3,2,20,89.0,3,5,0.0,62
Bad,65,243,2,77,26,1,0,90,7,6,5,30,3,57,0,6,6,72,100.0,2,4,0.5,86
Bad,70,127,5,53,26,0,0,100,125,7,7,26,2,50,0,0,0,59,65.0,4,4,3.0,67
Good,81,162,23,89,26,0,0,100,125,7,7,26,0,31,3,1,1,11,58.0,1,2,0.0,33
Good,86,158,3,71,29,0,0,100,125,7,7,31,6,52,3,1,1,3,93.0,1,2,0.0,43
Good,87,270,26,83,28,0,0,100,125,7,7,28,0,25,0,0,0,0,,1,2,0.0,10
Good,69,256,4,69,57,1,1,95,31,7,3,63,4,44,0,5,5,58,82.0,14,9,5.0,77
Bad,70,139,17,58,19,0,0,100,125,7,7,19,0,37,1,4,4,63,76.0,3,3,1.0,86
Bad,88,419,11,101,21,0,0,100,125,7,7,21,1,33,0,0,0,0,,0,1,0.0,25
Good,78,368,26,132,28,0,0,96,47,7,6,38,0,29,2,2,2,15,,1,2,0.0,30
Bad,64,142,1,34,12,2,2,85,35,7,2,21,6,33,0,2,2,24,67.0,5,3,0.0,67
Good,87,152,17,83,21,0,0,100,125,7,7,21,0,62,16,0,0,4,78.0,2,2,0.0,67
Bad,66,180,7,63,23,0,0,96,31,7,6,25,3,24,36,0,0,73,47.0,8,3,4.0,85
Good,73,229,4,56,32,0,0,100,125,7,7,33,5,63,5,1,1,18,69.0,3,12,1.0,83
Bad,62,88,1,35,20,0,0,95,63,7,6,22,7,50,0,4,3,30,70.0,6,5,0.0,92
Bad,69,306,8,48,21,0,0,91,18,7,6,37,1,27,36,1,1,38,77.0,5,3,2.0,50
Good,83,228,2,95,46,0,0,100,125,7,7,51,3,33,1,1,1,26,100.0,2,1,1.0,27
Good,72,214,6,88,34,0,0,97,78,7,6,35,1,46,36,3,3,59,31.0,5,4,2.0,90
Bad,54,424,0,147,7,4,2,73,19,7,2,12,3,27,0,4,4,61,91.0,6,2,1.0,89
Good,89,135,19,80,30,0,0,100,125,7,7,30,0,17,0,0,0,0,,1,1,0.0,22
Bad,75,169,6,86,20,0,0,95,63,7,6,41,2,57,6,0,0,57,71.0,3,2,2.0,83
Bad,61,83,2,40,22,0,0,96,1,6,6,23,4,26,3,1,1,50,,7,2,1.0,69
Bad,67,180,4,15,12,0,0,100,125,7,7,13,6,23,36,4,4,28,95.0,7,2,1.0,90
Good,71,235,4,71,32,1,1,94,83,7,2,33,6,27,0,0,0,49,92.0,9,3,1.0,80
Bad,80,164,25,104,20,0,0,100,125,7,7,21,0,5,6,0,0,55,,4,1,0.0,50
Good,80,139,1,40,12,0,0,100,125,7,7,14,4,36,2,5,5,19,97.0,5,2,0.0,88
Bad,54,225,0,79,44,3,2,75,3,5,2,63,6,25,1,5,5,18,77.0,10,4,0.0,80
Good,83,181,2,150,5,0,0,100,125,7,7,10,1,17,36,1,1,30,99.0,1,1,0.5,100
Bad,67,97,2,46,8,0,0,100,125,7,7,9,1,33,0,1,1,66,48.0,5,2,1.0,88
Bad,74,247,9,107,46,0,0,100,125,7,7,47,2,38,0,1,1,38,88.0,11,1,2.0,87
Good,76,219,26,75,17,0,0,100,125,7,7,17,0,35,11,1,0,59,32.0,3,2,2.0,71
Bad,66,340,11,117,36,0,0,100,125,7,7,36,1,11,0,0,0,81,,20,1,11.0,75
Good,77,92,5,44,15,0,0,100,125,7,7,15,3,40,2,3,3,40,53.0,2,4,0.0,67
Bad,82,147,6,35,6,0,0,100,125,7,7,6,2,50,0,0,0,16,73.0,1,2,0.0,75
Bad,63,154,20,85,21,2,2,92,7,6,6,25,0,21,1,3,3,92,,3,1,1.0,100
Good,82,182,6,106,10,0,0,100,125,7,7,10,1,30,0,0,0,65,,2,2,0.0,80
Good,72,113,13,62,37,0,0,100,125,7,7,37,0,24,1,2,2,46,78.0,10,5,4.0,71
Good,65,256,40,190,23,1,1,85,5,6,4,27,0,52,5,0,0,75,27.0,4,3,1.0,88
Bad,66,160,3,71,17,0,0,83,15,7,6,18,1,44,0,1,1,32,70.0,3,3,1.0,86
Bad,79,41,1,15,6,0,0,100,125,7,7,8,2,25,0,2,2,1,64.0,1,2,0.0,38
Bad,62,185,8,83,58,2,2,92,30,7,2,60,4,73,0,0,0,109,79.0,9,8,4.0,100
Good,79,306,2,89,19,0,0,95,15,7,6,21,2,24,1,1,1,12,,5,1,0.0,60
Bad,70,310,2,58,16,0,0,100,125,7,7,17,5,12,0,4,4,62,,6,1,2.0,88
Bad,83,122,13,35,11,0,0,100,125,7,7,11,0,36,0,0,0,2,,2,1,0.0,50
Bad,72,177,21,75,15,1,0,94,13,7,5,16,0,38,0,0,0,30,,5,1,1.0,86
Good,82,235,24,123,30,0,0,100,125,7,7,32,0,38,36,0,0,36,,3,1,0.0,100
Bad,79,209,5,77,28,0,0,100,125,7,7,28,3,29,0,0,0,43,,4,2,2.0,55
Good,87,150,27,77,27,0,0,100,125,7,7,27,0,30,2,1,1,4,3.0,4,2,0.0,55
Bad,60,134,9,48,12,0,0,92,23,7,6,15,1,57,0,1,1,97,57.0,4,5,3.0,90
Good,89,118,5,56,9,0,0,100,125,7,7,9,1,22,6,0,0,0,,1,2,0.0,17
Bad,61,132,1,71,12,2,0,81,71,7,5,16,3,31,0,5,5,86,,7,1,3.0,80
Good,74,183,4,84,21,1,1,86,3,7,4,24,1,32,2,1,1,15,,2,2,0.0,25
Bad,64,128,16,75,18,1,1,95,39,7,6,20,0,16,0,0,0,46,,7,2,1.0,88
Bad,54,206,7,75,8,1,0,64,6,6,5,11,1,64,0,0,0,92,,2,1,0.5,75
Bad,64,323,7,106,21,5,4,77,11,2,5,23,2,9,14,0,0,27,71.0,5,2,1.0,50
Good,74,390,1,98,37,0,0,100,125,7,7,38,5,24,0,4,3,22,64.0,4,1,1.0,33
Bad,75,129,1,48,22,0,0,100,125,7,7,23,5,61,9,0,0,46,95.0,2,6,0.0,80
Bad,62,433,1,79,31,3,3,92,24,7,2,39,7,85,0,2,2,13,97.0,1,4,0.5,100
Bad,84,130,11,61,14,0,0,100,125,7,7,14,2,43,0,1,1,0,61.0,2,2,0.0,67
Good,82,197,75,173,12,1,0,93,48,7,5,14,0,7,36,1,1,1,,6,2,0.0,67
Bad,55,110,20,63,9,2,0,62,11,6,5,13,0,46,0,1,1,92,89.0,3,2,1.0,100
Good,71,314,9,116,63,1,1,84,4,6,3,64,2,9,0,2,2,5,91.0,7,2,0.0,37
Good,67,220,7,61,30,0,0,97,32,7,6,30,5,53,1,4,4,50,70.0,6,9,2.0,88
Bad,67,250,6,103,26,0,0,88,1,6,6,26,1,35,0,0,0,79,60.0,4,2,2.0,75
Bad,58,334,4,99,34,0,0,68,13,7,6,37,2,54,2,4,4,68,32.0,3,4,1.0,58
Good,81,255,1,75,28,0,0,100,125,7,7,30,2,27,0,1,1,17,67.0,5,2,0.0,44
Good,75,422,1,91,55,0,0,100,125,7,7,57,4,33,0,4,4,2,11.0,12,2,1.0,57
Bad,54,184,3,101,42,0,0,88,4,6,6,43,4,51,0,1,1,64,83.0,8,3,3.0,93
Good,73,134,11,54,23,0,0,100,125,7,7,24,1,46,2,1,1,47,58.0,4,4,1.0,67
Good,79,138,4,56,26,0,0,100,125,7,7,27,3,19,36,0,0,12,,4,2,0.0,70
Bad,65,187,6,86,31,0,0,94,17,7,6,32,1,34,0,1,1,58,77.0,10,4,4.0,93
Bad,77,199,2,60,24,0,0,100,125,7,7,29,3,21,0,0,0,66,41.0,5,3,2.0,67
Good,84,196,10,82,12,0,0,100,125,7,7,25,1,17,0,2,2,29,54.0,5,2,0.0,64
Good,65,338,7,55,24,0,0,83,9,6,6,24,2,33,0,2,2,13,78.0,2,2,0.0,31
Bad,76,293,4,74,33,0,0,100,125,7,7,34,1,38,0,2,2,37,,13,1,0.0,88
Good,83,202,10,98,22,3,1,88,34,7,4,25,2,24,1,1,1,6,83.0,4,2,0.0,50
Good,88,448,6,156,23,0,0,100,125,7,7,29,1,22,0,0,0,6,4.0,5,2,0.0,50
Bad,73,181,8,71,25,0,0,100,125,7,7,25,4,56,0,0,0,45,76.0,6,6,1.0,86
Bad,81,178,2,52,13,0,0,100,125,7,7,15,1,33,0,3,3,7,75.0,3,1,0.0,57
Good,88,188,13,82,20,0,0,100,125,7,7,20,0,40,0,0,0,17,82.0,2,2,0.0,50
Bad,57,164,5,74,30,1,1,90,7,2,6,35,1,57,0,5,4,64,75.0,6,4,2.0,92
Bad,56,95,2,24,15,0,0,100,125,7,7,19,4,44,4,1,1,73,87.0,5,6,2.0,85
Bad,63,148,2,56,31,1,1,97,67,7,2,38,5,45,0,3,3,82,,9,2,6.0,92
Good,77,216,4,91,39,0,0,100,125,7,7,41,3,29,0,3,3,46,83.0,8,5,0.0,68
Good,74,107,4,59,22,1,1,96,71,7,2,23,1,17,3,1,1,23,26.0,2,2,1.0,44
Bad,68,144,2,41,19,0,0,100,125,7,7,21,4,24,0,1,1,63,78.0,10,3,3.0,93
Bad,86,70,9,39,10,0,0,100,125,7,7,10,1,10,0,0,0,0,,1,1,0.0,22
Bad,78,246,17,109,15,0,0,100,125,7,7,15,0,40,0,0,0,71,,2,1,2.0,43
Good,72,271,3,58,39,1,0,98,8,6,5,43,2,40,0,6,6,12,92.0,4,3,0.0,64
Bad,67,233,12,66,13,1,0,87,10,6,5,15,0,67,0,1,1,33,81.0,3,2,1.0,83
Bad,58,205,8,15,4,0,0,100,125,7,7,16,3,25,36,3,3,91,,3,1,1.0,100
Bad,68,125,9,95,14,3,3,94,58,2,2,16,1,50,7,0,0,14,97.0,2,2,0.0,57
Good,78,202,2,70,15,0,0,94,63,7,6,17,4,18,1,1,1,10,,4,1,0.0,38
Bad,74,264,11,64,28,0,0,96,29,7,6,58,1,29,36,5,5,37,,5,2,1.0,44
Good,76,186,1,83,21,0,0,96,11,6,6,25,4,28,36,2,2,12,,3,2,0.0,44
Good,75,289,3,83,39,1,1,95,33,7,2,42,2,33,3,1,1,21,,3,1,1.0,50
Bad,68,69,8,42,10,0,0,90,125,7,7,10,1,40,0,3,2,79,72.0,3,2,1.0,100
Good,80,49,7,27,7,0,0,100,125,7,7,7,1,71,1,1,1,0,82.0,0,1,0.0,33
Bad,77,516,14,110,10,0,0,90,14,7,6,10,0,30,0,1,1,55,79.0,3,2,1.0,86
Bad,64,237,13,88,7,3,3,70,18,7,3,10,0,70,36,0,0,34,88.0,1,1,0.0,67
Bad,58,67,2,28,14,0,0,100,125,7,7,15,3,7,1,2,2,69,,9,1,2.0,83
Bad,66,502,4,145,34,0,0,97,36,7,6,37,4,27,4,3,3,80,53.0,17,3,12.0,83
Bad,76,66,2,31,5,0,0,100,125,7,7,7,3,0,0,1,1,47,,3,2,2.0,100
Bad,72,254,11,68,18,0,0,95,1,6,6,24,1,16,4,1,1,3,19.0,4,3,0.0,58
Bad,60,205,4,74,32,0,0,88,4,6,6,34,5,59,36,4,4,32,62.0,4,3,0.0,80
Bad,90,406,1,146,10,0,0,100,125,7,7,11,1,36,36,0,0,0,,2,1,0.5,60
Good,75,224,19,97,21,0,0,100,125,7,7,21,0,33,36,0,0,57,49.0,2,2,2.0,36
Bad,54,94,1,44,16,0,0,88,1,6,6,17,4,29,0,1,1,58,94.0,4,2,3.0,75
Bad,54,336,13,93,17,1,1,89,4,4,4,18,0,33,0,4,4,65,53.0,4,2,2.0,75
Bad,71,158,1,71,29,0,0,100,125,7,7,30,6,30,0,2,2,39,94.0,5,3,2.0,67
Good,64,228,5,84,60,0,0,95,23,7,6,60,4,38,0,0,0,35,,10,2,3.0,68
Bad,57,68,4,37,15,0,0,81,31,7,6,16,3,50,0,1,1,98,85.0,4,4,1.0,80
Bad,77,221,0,64,31,0,0,94,14,7,6,36,4,51,36,1,0,9,88.0,3,6,0.0,45
Bad,57,130,6,38,15,0,0,80,1,6,6,15,1,27,13,0,0,84,71.0,6,3,4.0,82
Bad,80,271,9,62,12,0,0,92,9,6,6,12,1,33,36,0,0,29,50.0,1,2,0.0,60
Good,85,176,3,95,12,0,0,100,125,7,7,14,1,21,0,0,0,26,,3,2,0.0,100
Good,91,240,22,118,8,0,0,100,125,7,7,8,0,0,0,0,0,5,,3,2,0.0,50
Bad,83,195,4,94,18,0,0,100,125,7,7,18,2,28,4,1,1,25,56.0,2,2,0.0,44
Good,71,167,31,84,21,0,0,96,37,7,6,23,0,13,36,0,0,55,,5,1,3.0,60
Bad,76,108,14,58,18,1,0,95,62,7,5,19,0,42,0,0,0,20,,4,2,1.0,86
Bad,75,169,2,59,21,0,0,100,125,7,7,22,4,36,36,4,4,43,112.0,4,6,0.0,83
Good,74,332,15,113,19,0,0,95,32,7,6,20,0,35,21,0,0,58,65.0,5,3,1.0,57
Bad,54,232,2,91,19,0,0,70,2,6,6,23,3,48,0,1,1,97,36.0,6,3,0.0,90
Good,77,155,20,94,13,0,0,100,125,7,7,15,0,53,0,0,0,42,55.0,3,1,0.0,50
Bad,60,37,9,22,11,0,0,100,125,7,7,11,1,55,36,8,8,112,61.0,3,1,0.0,100
Good,91,262,19,101,9,0,0,100,125,7,7,9,0,0,19,0,0,8,,2,2,0.0,50
Bad,66,79,3,31,19,0,0,100,125,7,7,20,1,45,0,5,5,81,68.0,6,4,1.0,100
Bad,51,169,5,70,19,0,0,62,2,6,6,21,1,33,0,0,0,87,48.0,5,2,4.0,64
Bad,69,165,4,62,12,0,0,92,75,7,6,12,2,58,0,1,1,97,71.0,4,1,3.0,100
Good,75,180,4,49,17,0,0,100,125,7,7,19,2,26,36,1,1,100,57.0,1,2,1.0,50
Good,90,162,12,99,19,0,0,100,125,7,7,21,0,52,0,0,0,3,,3,1,0.0,67
Bad,59,136,6,42,18,0,0,89,17,7,6,18,4,28,0,1,1,44,99.0,5,2,3.0,50
Good,64,230,11,108,35,0,0,92,4,6,6,39,1,47,2,1,1,56,40.0,7,8,2.0,83
Good,80,88,8,48,16,0,0,100,125,7,7,16,2,25,36,0,0,3,,2,1,0.0,38
Good,91,270,23,132,16,0,0,100,125,7,7,16,0,13,0,0,0,6,,3,1,0.0,50
Good,91,278,29,123,17,0,0,100,125,7,7,19,0,32,0,0,0,1,,4,1,0.0,63
Good,65,155,1,89,6,1,0,78,8,6,5,9,1,33,0,4,4,50,74.0,1,3,0.0,67
Bad,69,160,5,109,11,1,1,92,20,7,3,13,1,31,36,0,0,94,,3,2,3.0,100
Bad,87,115,11,59,9,0,0,100,125,7,7,9,2,78,36,1,1,0,,0,2,0.0,50
Good,88,441,18,113,17,0,0,100,125,7,7,19,0,17,22,0,0,0,,1,2,0.0,43
Bad,67,235,5,39,11,0,0,91,6,6,6,30,3,27,36,1,1,47,78.0,3,2,0.0,71
Good,64,180,2,40,27,0,0,100,125,7,7,30,6,7,36,5,5,32,,7,1,3.0,47
Bad,70,45,3,27,3,0,0,100,125,7,7,4,1,67,0,1,1,55,45.0,1,1,0.0,100
Good,73,255,12,40,10,0,0,100,125,7,7,35,0,30,36,3,3,62,73.0,3,2,2.0,83
